Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  us/call  us/call  name    
  3.73      1.19     1.19                             Theta(std::vector<double, std::allocator<double> > const&, double, double) (terms.cpp:30 @ ba2c)
[1415]   0.0    0.00    0.00    3200         alglib_impl::ae_round(double, alglib_impl::ae_state*) (ap.cpp:2485 @ 17d30) [1415]
-----------------------------------------------
                0.00    0.00     640/2880        alglib_impl::rcond_rmatrixestimatenorm(long, alglib_impl::ae_vector*, alglib_impl::ae_vector*, alglib_impl::ae_vector*, double*, long*, alglib_impl::ae_state*) (linalg.cpp:31246 @ 7604f) [47585]
                0.00    0.00    2240/2880        alglib_impl::rcond_rmatrixestimatenorm(long, alglib_impl::ae_vector*, alglib_impl::ae_vector*, alglib_impl::ae_vector*, double*, long*, alglib_impl::ae_state*) (linalg.cpp:31240 @ 75e0e) [47536]
[1416]   0.0    0.00    0.00    2880         alglib_impl::ae_sign(double, alglib_impl::ae_state*) (ap.cpp:2478 @ 17d00) [1416]
-----------------------------------------------
                0.00    0.00      80/2720        alglib_impl::directdensesolvers_rmatrixlusolveinternal(alglib_impl::ae_matrix*, alglib_impl::ae_vector*, long, alglib_impl::ae_matrix*, bool, alglib_impl::ae_matrix*, long, long*, alglib_impl::densesolverreport*, alglib_impl::ae_matrix*, alglib_impl::ae_state*) (solvers.cpp:9317 @ 35b12) [52546]
                0.00    0.00      80/2720        alglib_impl::directdensesolvers_rmatrixlusolveinternal(alglib_impl::ae_matrix*, alglib_impl::ae_vector*, long, alglib_impl::ae_matrix*, bool, alglib_impl::ae_matrix*, long, long*, alglib_impl::densesolverreport*, alglib_impl::ae_matrix*, alglib_impl::ae_state*) (solvers.cpp:9318 @ 35b2a) [52547]
                0.00    0.00      80/2720        alglib_impl::directdensesolvers_rmatrixlusolveinternal(alglib_impl::ae_matrix*, alglib_impl::ae_vector*, long, alglib_impl::ae_matrix*, bool, alglib_impl::ae_matrix*, long, long*, alglib_impl::densesolverreport*, alglib_impl::ae_matrix*, alglib_impl::ae_state*) (solvers.cpp:9319 @ 35b46) [52548]
                0.00    0.00      80/2720        alglib_impl::directdensesolvers_rmatrixlusolveinternal(alglib_impl::ae_matrix*, alglib_impl::ae_vector*, long, alglib_impl::ae_matrix*, bool, alglib_impl::ae_matrix*, long, long*, alglib_impl::densesolverreport*, alglib_impl::ae_matrix*, alglib_impl::ae_state*) (solvers.cpp:9320 @ 35b62) [52549]
                0.00    0.00      80/2720        alglib_impl::directdensesolvers_rmatrixlusolveinternal(alglib_impl::ae_matrix*, alglib_impl::ae_vector*, long, alglib_impl::ae_matrix*, bool, alglib_impl::ae_matrix*, long, long*, alglib_impl::densesolverreport*, alglib_impl::ae_matrix*, alglib_impl::ae_state*) (solvers.cpp:9321 @ 35b7e) [52550]
                0.00    0.00      80/2720        alglib_impl::directdensesolvers_rmatrixlusolveinternal(alglib_impl::ae_matrix*, alglib_impl::ae_vector*, long, alglib_impl::ae_matrix*, bool, alglib_impl::ae_matrix*, long, long*, alglib_impl::densesolverreport*, alglib_impl::ae_matrix*, alglib_impl::ae_state*) (solvers.cpp:9322 @ 35b9a) [52551]
                0.00    0.00      80/2720        alglib_impl::rmatrixsolvem(alglib_impl::ae_matrix*, long, alglib_impl::ae_matrix*, long, bool, long*, alglib_impl::densesolverreport*, alglib_impl::ae_matrix*, alglib_impl::ae_state*) (solvers.cpp:5871 @ 405eb) [14263]
                0.00    0.00      80/2720        alglib_impl::rmatrixplu(alglib_impl::ae_matrix*, long, long, alglib_impl::ae_vector*, alglib_impl::ae_state*) (linalg.cpp:28108 @ c329d) [7729]
                0.00    0.00     160/2720        alglib::ae_vector_wrapper::ae_vector_wrapper(long) (ap.cpp:7146 @ 2b93b) [61120]
                0.00    0.00     160/2720        alglib_impl::rcond_rmatrixrcondluinternal(alglib_impl::ae_matrix*, long, bool, bool, double, double*, alglib_impl::ae_state*) (linalg.cpp:30635 @ 843dd) [49012]
                0.00    0.00     160/2720        alglib_impl::rcond_rmatrixrcondluinternal(alglib_impl::ae_matrix*, long, bool, bool, double, double*, alglib_impl::ae_state*) (linalg.cpp:30636 @ 843e2) [49013]
                0.00    0.00     160/2720        alglib_impl::rcond_rmatrixrcondluinternal(alglib_impl::ae_matrix*, long, bool, bool, double, double*, alglib_impl::ae_state*) (linalg.cpp:30637 @ 843fe) [49014]
                0.00    0.00     160/2720        alglib_impl::rcond_rmatrixrcondluinternal(alglib_impl::ae_matrix*, long, bool, bool, double, double*, alglib_impl::ae_state*) (linalg.cpp:30638 @ 8441a) [49015]
                0.00    0.00    1280/2720        memset (string_fortified.h:71 @ 6a3cb) [794]
[1417]   0.0    0.00    0.00    2720         alglib_impl::ae_vector_init(alglib_impl::ae_vector*, long, long, alglib_impl::ae_state*, bool) (ap.cpp:1269 @ 16050) [1417]
-----------------------------------------------
                0.00    0.00      80/2400        alglib_impl::rmatrixplu(alglib_impl::ae_matrix*, long, long, alglib_impl::ae_vector*, alglib_impl::ae_state*) (linalg.cpp:28118 @ c3302) [7733]
                0.00    0.00     720/2400        alglib_impl::rmatrixplurec(alglib_impl::ae_matrix*, long, long, long, alglib_impl::ae_vector*, alglib_impl::ae_vector*, alglib_impl::ae_state*) (linalg.cpp:23437 @ b6e50) [14133]
                0.00    0.00     800/2400        alglib_impl::rmatrixplurec(alglib_impl::ae_matrix*, long, long, long, alglib_impl::ae_vector*, alglib_impl::ae_vector*, alglib_impl::ae_state*) (linalg.cpp:23409 @ b6bc8) [14096]
                0.00    0.00     800/2400        alglib_impl::rmatrixplu(alglib_impl::ae_matrix*, long, long, alglib_impl::ae_vector*, alglib_impl::ae_state*) (linalg.cpp:28144 @ c3448) [7753]
[1418]   0.0    0.00    0.00    2400         alglib_impl::ae_minint(long, long, alglib_impl::ae_state*) (ap.cpp:2510 @ 17e20) [1418]
-----------------------------------------------
                0.00    0.00      80/1920        convertMMatrix(std::vector<std::vector<double, std::allocator<double> >, std::allocator<std::vector<double, std::allocator<double> > > >) (terms.cpp:482 @ 10672) [2557]
                0.00    0.00      80/1920        mY(std::vector<double, std::allocator<double> >&, std::vector<double, std::allocator<double> >&, double, std::vector<std::vector<std::vector<double, std::allocator<double> >, std::allocator<std::vector<double, std::allocator<double> > > >, std::allocator<std::vector<std::vector<double, std::allocator<double> >, std::allocator<std::vector<double, std::allocator<double> > > > > >&, std::vector<std::vector<std::vector<double, std::allocator<double> >, std::allocator<std::vector<double, std::allocator<double> > > >, std::allocator<std::vector<std::vector<double, std::allocator<double> >, std::allocator<std::vector<double, std::allocator<double> > > > > >&) (terms.cpp:321 @ 107f0) [3342]
                0.00    0.00      80/1920        mV(std::vector<double, std::allocator<double> >&, std::vector<double, std::allocator<double> >&, double, double, double, double, int, double) (terms.cpp:377 @ 10a60) [3315]
                0.00    0.00      80/1920        mM(double, double, std::vector<double, std::allocator<double> >&, double, int) (stl_vector.h:692 @ 10bfe) [3281]
                0.00    0.00      80/1920        K(int, double, double) (stl_vector.h:692 @ 111ec) [2797]
                0.00    0.00      80/1920        mZ(std::vector<double, std::allocator<double> >&, std::vector<double, std::allocator<double> >&, double, std::vector<std::vector<std::vector<double, std::allocator<double> >, std::allocator<std::vector<double, std::allocator<double> > > >, std::allocator<std::vector<std::vector<double, std::allocator<double> >, std::allocator<std::vector<double, std::allocator<double> > > > > >&, std::vector<std::vector<std::vector<double, std::allocator<double> >, std::allocator<std::vector<double, std::allocator<double> > > >, std::allocator<std::vector<std::vector<double, std::allocator<double> >, std::allocator<std::vector<double, std::allocator<double> > > > > >&) (terms.cpp:294 @ 11290) [3375]
                0.00    0.00     720/1920        B(double, double, int, std::vector<double, std::allocator<double> >&, int) (stl_vector.h:692 @ f9ba) [2760]
                0.00    0.00     720/1920        A(double, double, int, std::vector<double, std::allocator<double> >&, int) (stl_vector.h:692 @ 105b3) [2706]
[1419]   0.0    0.00    0.00    1920         std::vector<std::vector<double, std::allocator<double> >, std::allocator<std::vector<double, std::allocator<double> > > >::_M_default_append(unsigned long) (vector.tcc:554 @ 11910) [1419]
-----------------------------------------------
                0.00    0.00      80/1760        alglib_impl::directdensesolvers_rmatrixlusolveinternal(alglib_impl::ae_matrix*, alglib_impl::ae_vector*, long, alglib_impl::ae_matrix*, bool, alglib_impl::ae_matrix*, long, long*, alglib_impl::densesolverreport*, alglib_impl::ae_matrix*, alglib_impl::ae_state*) (solvers.cpp:9307 @ 35a0e) [52541]
                0.00    0.00      80/1760        memset (string_fortified.h:71 @ 40510) [634]
                0.00    0.00      80/1760        alglib_impl::rmatrixsolve(alglib_impl::ae_matrix*, long, alglib_impl::ae_vector*, long*, alglib_impl::densesolverreport*, alglib_impl::ae_vector*, alglib_impl::ae_state*) (solvers.cpp:5658 @ 4098c) [11832]
                0.00    0.00      80/1760        memset (string_fortified.h:71 @ c326d) [967]
                0.00    0.00     160/1760        alglib_impl::rcond_rmatrixrcondluinternal(alglib_impl::ae_matrix*, long, bool, bool, double, double*, alglib_impl::ae_state*) (linalg.cpp:30611 @ 842fa) [49005]
                0.00    0.00    1280/1760        memset (string_fortified.h:71 @ 6a3b0) [793]
[1420]   0.0    0.00    0.00    1760         alglib_impl::ae_frame_make(alglib_impl::ae_state*, alglib_impl::ae_frame*) (ap.cpp:1072 @ 15c10) [1420]
-----------------------------------------------
                0.00    0.00      80/1760        alglib_impl::directdensesolvers_rmatrixlusolveinternal(alglib_impl::ae_matrix*, alglib_impl::ae_vector*, long, alglib_impl::ae_matrix*, bool, alglib_impl::ae_matrix*, long, long*, alglib_impl::densesolverreport*, alglib_impl::ae_matrix*, alglib_impl::ae_state*) (solvers.cpp:9406 @ 36197) [52640]
                0.00    0.00      80/1760        alglib_impl::rmatrixsolvem(alglib_impl::ae_matrix*, long, alglib_impl::ae_matrix*, long, bool, long*, alglib_impl::densesolverreport*, alglib_impl::ae_matrix*, alglib_impl::ae_state*) (solvers.cpp:5902 @ 406fc) [14276]
                0.00    0.00      80/1760        alglib_impl::rmatrixsolve(alglib_impl::ae_matrix*, long, alglib_impl::ae_vector*, long*, alglib_impl::densesolverreport*, alglib_impl::ae_vector*, alglib_impl::ae_state*) (solvers.cpp:5678 @ 40afb) [11845]
                0.00    0.00      80/1760        alglib_impl::rmatrixplu(alglib_impl::ae_matrix*, long, long, alglib_impl::ae_vector*, alglib_impl::ae_state*) (linalg.cpp:28149 @ c345f) [7754]
                0.00    0.00     160/1760        alglib_impl::rcond_rmatrixrcondluinternal(alglib_impl::ae_matrix*, long, bool, bool, double, double*, alglib_impl::ae_state*) (linalg.cpp:30876 @ 84ad0) [49110]
                0.00    0.00    1280/1760        alglib_impl::rmatrixscaledtrsafesolve(alglib_impl::ae_matrix*, double, long, alglib_impl::ae_vector*, bool, long, bool, double, alglib_impl::ae_state*) (alglibinternal.cpp:9792 @ 6a655) [34003]
[1421]   0.0    0.00    0.00    1760         alglib_impl::ae_frame_leave(alglib_impl::ae_state*) (ap.cpp:1085 @ 15c40) [1421]
-----------------------------------------------
                0.00    0.00     800/1600        alglib_impl::rcond_rmatrixrcondluinternal(alglib_impl::ae_matrix*, long, bool, bool, double, double*, alglib_impl::ae_state*) (linalg.cpp:30695 @ 84670) [49051]
                0.00    0.00     800/1600        alglib_impl::rcond_rmatrixrcondluinternal(alglib_impl::ae_matrix*, long, bool, bool, double, double*, alglib_impl::ae_state*) (linalg.cpp:30795 @ 84960) [49098]
[1422]   0.0    0.00    0.00    1600         alglib_impl::rcond_rmatrixestimatenorm(long, alglib_impl::ae_vector*, alglib_impl::ae_vector*, alglib_impl::ae_vector*, double*, long*, alglib_impl::ae_state*) (linalg.cpp:31181 @ 75c40) [1422]
-----------------------------------------------
                0.00    0.00    1360/1360        alglib_impl::safesolve_cbasicsolveandupdate(alglib_impl::ae_complex, alglib_impl::ae_complex, double, double, double, double*, alglib_impl::ae_complex*, alglib_impl::ae_state*) (alglibinternal.cpp:10371 @ 54f40) [49430]
[1423]   0.0    0.00    0.00    1360         alglib_impl::ae_complex_from_i(long) (ap.cpp:4779 @ 1a3b0) [1423]
-----------------------------------------------
                0.00    0.00     320/1280        alglib_impl::rcond_rmatrixrcondluinternal(alglib_impl::ae_matrix*, long, bool, bool, double, double*, alglib_impl::ae_state*) (linalg.cpp:30838 @ 8499d) [49102]
                0.00    0.00     320/1280        alglib_impl::rcond_rmatrixrcondluinternal(alglib_impl::ae_matrix*, long, bool, bool, double, double*, alglib_impl::ae_state*) (linalg.cpp:30847 @ 849df) [49103]
                0.00    0.00     320/1280        alglib_impl::rcond_rmatrixrcondluinternal(alglib_impl::ae_matrix*, long, bool, bool, double, double*, alglib_impl::ae_state*) (linalg.cpp:30817 @ 84a50) [49106]
                0.00    0.00     320/1280        alglib_impl::rcond_rmatrixrcondluinternal(alglib_impl::ae_matrix*, long, bool, bool, double, double*, alglib_impl::ae_state*) (linalg.cpp:30826 @ 84a8d) [49107]
[1424]   0.0    0.00    0.00    1280         alglib_impl::rmatrixscaledtrsafesolve(alglib_impl::ae_matrix*, double, long, alglib_impl::ae_vector*, bool, long, bool, double, alglib_impl::ae_state*) (alglibinternal.cpp:9728 @ 6a340) [1424]
-----------------------------------------------
                0.00    0.00      80/960         alglib_impl::directdensesolvers_rmatrixlusolveinternal(alglib_impl::ae_matrix*, alglib_impl::ae_vector*, long, alglib_impl::ae_matrix*, bool, alglib_impl::ae_matrix*, long, long*, alglib_impl::densesolverreport*, alglib_impl::ae_matrix*, alglib_impl::ae_state*) (solvers.cpp:9356 @ 35cb9) [52566]
                0.00    0.00      80/960         alglib_impl::directdensesolvers_rmatrixlusolveinternal(alglib_impl::ae_matrix*, alglib_impl::ae_vector*, long, alglib_impl::ae_matrix*, bool, alglib_impl::ae_matrix*, long, long*, alglib_impl::densesolverreport*, alglib_impl::ae_matrix*, alglib_impl::ae_state*) (solvers.cpp:9356 @ 35d98) [52577]
                0.00    0.00     160/960         alglib_impl::rcondthreshold(alglib_impl::ae_state*) (linalg.cpp:29697 @ c7aef) [16109]
                0.00    0.00     320/960         alglib_impl::rcond_rmatrixrcondluinternal(alglib_impl::ae_matrix*, long, bool, bool, double, double*, alglib_impl::ae_state*) (linalg.cpp:29697 @ 84475) [49022]
                0.00    0.00     320/960         alglib_impl::rcond_rmatrixrcondluinternal(alglib_impl::ae_matrix*, long, bool, bool, double, double*, alglib_impl::ae_state*) (linalg.cpp:29697 @ 84c6b) [49131]
[1425]   0.0    0.00    0.00     960         alglib_impl::ae_sqrt(double, alglib_impl::ae_state*) (ap.cpp:2473 @ 17cf0) [1425]
-----------------------------------------------
                0.00    0.00     720/720         uVek(std::vector<double, std::allocator<double> >&, std::vector<double, std::allocator<double> >&, double, double, double, double, int, double) (terms.cpp:436 @ 115e0) [4165]
[1426]   0.0    0.00    0.00     720         u(int, std::vector<double, std::allocator<double> >&, std::vector<double, std::allocator<double> >&, int, double, double, double, double) (terms.cpp:394 @ e850) [1426]
-----------------------------------------------
                0.00    0.00     720/720         solve(std::vector<std::vector<double, std::allocator<double> >, std::allocator<std::vector<double, std::allocator<double> > > >&, std::vector<double, std::allocator<double> >&) (linear_solve.cpp:35 @ 5710) [4724]
[1427]   0.0    0.00    0.00     720         alglib::real_1d_array::operator[](long) (ap.cpp:7489 @ 20fc0) [1427]
-----------------------------------------------
                0.00    0.00     640/640         alglib_impl::rmatrixplurec(alglib_impl::ae_matrix*, long, long, long, alglib_impl::ae_vector*, alglib_impl::ae_vector*, alglib_impl::ae_state*) (linalg.cpp:23440 @ b7061) [14143]
[1428]   0.0    0.00    0.00     640         alglib_impl::ae_v_moveneg(double*, long, double const*, long, long) (ap.cpp:5578 @ 1c3c0) [1428]
-----------------------------------------------
                0.00    0.00     640/640         alglib_impl::rmatrixplurec(alglib_impl::ae_matrix*, long, long, long, alglib_impl::ae_vector*, alglib_impl::ae_vector*, alglib_impl::ae_state*) (linalg.cpp:23441 @ b70aa) [14144]
[1429]   0.0    0.00    0.00     640         alglib_impl::rmatrixrank1(long, long, alglib_impl::ae_matrix*, long, long, alglib_impl::ae_vector*, long, alglib_impl::ae_vector*, long, alglib_impl::ae_state*) (linalg.cpp:19281 @ a84e0) [1429]
-----------------------------------------------
                0.00    0.00     640/640         alglib_impl::rmatrixrank1(long, long, alglib_impl::ae_matrix*, long, long, alglib_impl::ae_vector*, long, alglib_impl::ae_vector*, long, alglib_impl::ae_state*) (linalg.cpp:19311 @ a852c) [11797]
[1430]   0.0    0.00    0.00     640         alglib_impl::rmatrixrank1f(long, long, alglib_impl::ae_matrix*, long, long, alglib_impl::ae_vector*, long, alglib_impl::ae_vector*, long, alglib_impl::ae_state*) (alglibinternal.cpp:6289 @ 62060) [1430]
-----------------------------------------------
                0.00    0.00     640/640         alglib_impl::rmatrixrank1(long, long, alglib_impl::ae_matrix*, long, long, alglib_impl::ae_vector*, long, alglib_impl::ae_vector*, long, alglib_impl::ae_state*) (linalg.cpp:19311 @ a852c) [11797]
[1431]   0.0    0.00    0.00     640         alglib_impl::_ialglib_rmatrixrank1(long, long, double*, long, double*, double*) (ap.cpp:11053 @ 299d0) [1431]
-----------------------------------------------
                0.00    0.00     640/640         alglib_impl::rmatrixrank1(long, long, alglib_impl::ae_matrix*, long, long, alglib_impl::ae_vector*, long, alglib_impl::ae_vector*, long, alglib_impl::ae_state*) (linalg.cpp:19311 @ a852c) [11797]
[1432]   0.0    0.00    0.00     640         alglib_impl::_ialglib_i_rmatrixrank1f(long, long, alglib_impl::ae_matrix*, long, long, alglib_impl::ae_vector*, long, alglib_impl::ae_vector*, long) (ap.cpp:11408 @ 2a470) [1432]
-----------------------------------------------
                0.00    0.00      20/600         rungeKutta4(int, double, double, double, double, bool, bool, bool, std::vector<double, std::allocator<double> >, std::vector<double, std::allocator<double> >, int, double, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, int, double) (timestepping.cpp:66 @ 6fd6) [1810]
                0.00    0.00      20/600         rungeKutta4(int, double, double, double, double, bool, bool, bool, std::vector<double, std::allocator<double> >, std::vector<double, std::allocator<double> >, int, double, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, int, double) (timestepping.cpp:67 @ 712d) [1856]
                0.00    0.00      20/600         rungeKutta4(int, double, double, double, double, bool, bool, bool, std::vector<double, std::allocator<double> >, std::vector<double, std::allocator<double> >, int, double, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, int, double) (timestepping.cpp:72 @ 73ce) [1934]
                0.00    0.00      20/600         rungeKutta4(int, double, double, double, double, bool, bool, bool, std::vector<double, std::allocator<double> >, std::vector<double, std::allocator<double> >, int, double, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, int, double) (timestepping.cpp:73 @ 7525) [1980]
                0.00    0.00      20/600         rungeKutta4(int, double, double, double, double, bool, bool, bool, std::vector<double, std::allocator<double> >, std::vector<double, std::allocator<double> >, int, double, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, int, double) (timestepping.cpp:78 @ 77c2) [2058]
                0.00    0.00      20/600         rungeKutta4(int, double, double, double, double, bool, bool, bool, std::vector<double, std::allocator<double> >, std::vector<double, std::allocator<double> >, int, double, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, int, double) (timestepping.cpp:79 @ 7919) [2103]
                0.00    0.00      40/600         rungeKutta4(int, double, double, double, double, bool, bool, bool, std::vector<double, std::allocator<double> >, std::vector<double, std::allocator<double> >, int, double, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, int, double) (timestepping.cpp:85 @ 7c3c) [2188]
                0.00    0.00      40/600         rungeKutta4(int, double, double, double, double, bool, bool, bool, std::vector<double, std::allocator<double> >, std::vector<double, std::allocator<double> >, int, double, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, int, double) (timestepping.cpp:86 @ 7c5d) [2189]
                0.00    0.00      40/600         rungeKutta4(int, double, double, double, double, bool, bool, bool, std::vector<double, std::allocator<double> >, std::vector<double, std::allocator<double> >, int, double, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, int, double) (timestepping.cpp:87 @ 7e99) [2254]
                0.00    0.00      40/600         rungeKutta4(int, double, double, double, double, bool, bool, bool, std::vector<double, std::allocator<double> >, std::vector<double, std::allocator<double> >, int, double, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, int, double) (timestepping.cpp:88 @ 7eba) [2255]
                0.00    0.00      80/600         step(int, double, double, double, double, bool, bool, bool, std::vector<double, std::allocator<double> >&, std::vector<double, std::allocator<double> >&, int, double, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >) (step.cpp:26 @ 979a) [3721]
                0.00    0.00      80/600         step(int, double, double, double, double, bool, bool, bool, std::vector<double, std::allocator<double> >&, std::vector<double, std::allocator<double> >&, int, double, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >) (step.cpp:27 @ 97c5) [3722]
                0.00    0.00      80/600         step(int, double, double, double, double, bool, bool, bool, std::vector<double, std::allocator<double> >&, std::vector<double, std::allocator<double> >&, int, double, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >) (step.cpp:31 @ a130) [3996]
                0.00    0.00      80/600         step(int, double, double, double, double, bool, bool, bool, std::vector<double, std::allocator<double> >&, std::vector<double, std::allocator<double> >&, int, double, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >) (step.cpp:35 @ a3af) [4076]
[1433]   0.0    0.00    0.00     600         operator+(std::vector<double, std::allocator<double> >, std::vector<double, std::allocator<double> >) (operators.cpp:3 @ 11eb0) [1433]
-----------------------------------------------
                0.00    0.00     160/480         alglib_impl::rmatrixlefttrsm(long, long, alglib_impl::ae_matrix*, long, long, bool, bool, long, alglib_impl::ae_matrix*, long, long, alglib_impl::ae_state*) (linalg.cpp:20703 @ b1ced) [17935]
                0.00    0.00     160/480         alglib_impl::rmatrixlefttrsm(long, long, alglib_impl::ae_matrix*, long, long, bool, bool, long, alglib_impl::ae_matrix*, long, long, alglib_impl::ae_state*) (linalg.cpp:20732 @ b1d2f) [17942]
                0.00    0.00     160/480         alglib_impl::rmatrixlefttrsm(long, long, alglib_impl::ae_matrix*, long, long, bool, bool, long, alglib_impl::ae_matrix*, long, long, alglib_impl::ae_state*) (linalg.cpp:20739 @ b1da8) [17945]
[1434]   0.0    0.00    0.00     480         alglib_impl::imax2(long, long, alglib_impl::ae_state*) (alglibinternal.cpp:2428 @ 5ed60) [1434]
-----------------------------------------------
                0.00    0.00      80/400         memset (string_fortified.h:71 @ 35a42) [565]
                0.00    0.00      80/400         alglib::densesolverreport::~densesolverreport() (solvers.cpp:159 @ 37bb9) [61293]
                0.00    0.00      80/400         alglib::_densesolverreport_owner::_densesolverreport_owner() (solvers.cpp:10136 @ 38bcf) [64681]
                0.00    0.00      80/400         alglib_impl::rmatrixsolvem(alglib_impl::ae_matrix*, long, alglib_impl::ae_matrix*, long, bool, long*, alglib_impl::densesolverreport*, alglib_impl::ae_matrix*, alglib_impl::ae_state*) (solvers.cpp:10152 @ 4059e) [14259]
                0.00    0.00      80/400         alglib_impl::rmatrixsolve(alglib_impl::ae_matrix*, long, alglib_impl::ae_vector*, long*, alglib_impl::densesolverreport*, alglib_impl::ae_vector*, alglib_impl::ae_state*) (solvers.cpp:5663 @ 409f0) [11836]
[1435]   0.0    0.00    0.00     400         alglib_impl::ae_touch_ptr(void*) (ap.cpp:952 @ 15a90) [1435]
-----------------------------------------------
                0.00    0.00      80/400         memset (string_fortified.h:71 @ 2ccf1) [510]
                0.00    0.00      80/400         alglib_impl::rmatrixsolvem(alglib_impl::ae_matrix*, long, alglib_impl::ae_matrix*, long, bool, long*, alglib_impl::densesolverreport*, alglib_impl::ae_matrix*, alglib_impl::ae_state*) (solvers.cpp:5869 @ 405af) [14261]
                0.00    0.00      80/400         alglib_impl::rmatrixsolvem(alglib_impl::ae_matrix*, long, alglib_impl::ae_matrix*, long, bool, long*, alglib_impl::densesolverreport*, alglib_impl::ae_matrix*, alglib_impl::ae_state*) (solvers.cpp:5870 @ 405cd) [14262]
                0.00    0.00      80/400         alglib_impl::rmatrixsolve(alglib_impl::ae_matrix*, long, alglib_impl::ae_vector*, long*, alglib_impl::densesolverreport*, alglib_impl::ae_vector*, alglib_impl::ae_state*) (solvers.cpp:5664 @ 409f8) [11837]
                0.00    0.00      80/400         alglib_impl::rmatrixsolve(alglib_impl::ae_matrix*, long, alglib_impl::ae_vector*, long*, alglib_impl::densesolverreport*, alglib_impl::ae_vector*, alglib_impl::ae_state*) (solvers.cpp:5667 @ 40a30) [11839]
[1436]   0.0    0.00    0.00     400         alglib_impl::ae_matrix_init(alglib_impl::ae_matrix*, long, long, long, alglib_impl::ae_state*, bool) (ap.cpp:1508 @ 16540) [1436]
-----------------------------------------------
                0.00    0.00     400/400         alglib_impl::directdensesolvers_rmatrixlusolveinternal(alglib_impl::ae_matrix*, alglib_impl::ae_vector*, long, alglib_impl::ae_matrix*, bool, alglib_impl::ae_matrix*, long, long*, alglib_impl::densesolverreport*, alglib_impl::ae_matrix*, alglib_impl::ae_state*) (solvers.cpp:9440 @ 36149) [52637]
[1437]   0.0    0.00    0.00     400         alglib_impl::ae_v_add(double*, long, double const*, long, long) (ap.cpp:5632 @ 1c610) [1437]
-----------------------------------------------
                0.00    0.00     400/400         alglib_impl::directdensesolvers_rmatrixlusolveinternal(alglib_impl::ae_matrix*, alglib_impl::ae_vector*, long, alglib_impl::ae_matrix*, bool, alglib_impl::ae_matrix*, long, long*, alglib_impl::densesolverreport*, alglib_impl::ae_matrix*, alglib_impl::ae_state*) (solvers.cpp:9439 @ 36128) [52636]
[1438]   0.0    0.00    0.00     400         alglib::_densesolverlsreport_owner::~_densesolverlsreport_owner() (solvers.cpp:285 @ 35530) [1438]
-----------------------------------------------
                0.00    0.00      80/320         step(int, double, double, double, double, bool, bool, bool, std::vector<double, std::allocator<double> >&, std::vector<double, std::allocator<double> >&, int, double, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >) (step.cpp:27 @ 967a) [3695]
                0.00    0.00      80/320         step(int, double, double, double, double, bool, bool, bool, std::vector<double, std::allocator<double> >&, std::vector<double, std::allocator<double> >&, int, double, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >) (step.cpp:31 @ a062) [3973]
                0.00    0.00     160/320         step(int, double, double, double, double, bool, bool, bool, std::vector<double, std::allocator<double> >&, std::vector<double, std::allocator<double> >&, int, double, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >) (step.cpp:26 @ 969e) [3696]
[1439]   0.0    0.00    0.00     320         multipl(std::vector<std::vector<double, std::allocator<double> >, std::allocator<std::vector<double, std::allocator<double> > > >&, std::vector<double, std::allocator<double> >&) (operators.cpp:19 @ 121d0) [1439]
-----------------------------------------------
                0.00    0.00     160/320         alglib_impl::_ialglib_rmatrixlefttrsm(long, long, double*, long, bool, bool, long, double*, long) [clone .part.40] (ap.cpp:10723 @ 2578d) [33019]
